Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
26-NOV-2024,24343.3,24343.3,24125.4,24194.5,230691771,24140.67
27-NOV-2024,24204.8,24354.55,24145.65,24274.9,295011445,31149.09
28-NOV-2024,24274.15,24345.75,23873.35,23914.15,366745300,41198.27
29-NOV-2024,23927.15,24188.45,23927.15,24131.1,282104071,30509.98
02-DEC-2024,24140.85,24301.7,24008.65,24276.05,220384187,23162.75
03-DEC-2024,24367.5,24481.35,24280,24457.15,339470947,34228.3
04-DEC-2024,24488.75,24573.2,24366.3,24467.45,348003156,34639.78
05-DEC-2024,24539.15,24857.75,24295.55,24708.4,361469920,40471.33
06-DEC-2024,24729.45,24751.05,24620.5,24677.8,226731303,23904.13
09-DEC-2024,24633.9,24705,24580.05,24619,248139308,25099.79
10-DEC-2024,24652.65,24677.8,24510.65,24610.05,261048951,26093.38
11-DEC-2024,24620.5,24691.75,24583.85,24641.8,187252712,21592.23
12-DEC-2024,24604.45,24675.25,24527.95,24548.7,266051129,28235.17
13-DEC-2024,24498.35,24792.3,24180.8,24768.3,310080852,30429.73
16-DEC-2024,24753.4,24781.25,24601.75,24668.25,187551629,18608.23
17-DEC-2024,24584.8,24624.1,24303.45,24336,264881033,26765.16
18-DEC-2024,24297.95,24394.45,24149.85,24198.85,235346534,23315.92
19-DEC-2024,23877.15,24004.9,23870.3,23951.7,271128027,27815.23
20-DEC-2024,23960.7,24065.8,23537.35,23587.5,442714411,47084.68
23-DEC-2024,23738.2,23869.55,23647.2,23753.45,189758237,18243.28
24-DEC-2024,23769.1,23867.65,23685.15,23727.65,177664746,16010.71
26-DEC-2024,23775.8,23854.5,23653.6,23750.2,177681783,16695.1
27-DEC-2024,23801.4,23938.85,23800.6,23813.4,176821521,17164.99
30-DEC-2024,23796.9,23915.35,23599.3,23644.9,364929453,33823.95
31-DEC-2024,23560.6,23689.85,23460.45,23644.8,193627727,18646.79
01-JAN-2025,23637.65,23822.8,23562.8,23742.9,154921938,14266.26
02-JAN-2025,23783,24226.7,23751.55,24188.65,283200811,32237.25
03-JAN-2025,24196.4,24196.45,23976,24004.75,312279515,29411.99
06-JAN-2025,24045.8,24089.95,23551.9,23616.05,278061806,25853.64
07-JAN-2025,23679.9,23795.2,23637.8,23707.9,262337253,22485.65
08-JAN-2025,23746.65,23751.85,23496.15,23688.95,266375381,24718.54
09-JAN-2025,23674.75,23689.5,23503.05,23526.5,269239831,26793.85
10-JAN-2025,23551.9,23596.6,23344.35,23431.5,261022434,25017.6
13-JAN-2025,23195.4,23340.95,23047.25,23085.95,316481107,26890.37
14-JAN-2025,23165.9,23264.95,23134.15,23176.05,311235510,31174.05
15-JAN-2025,23250.45,23293.65,23146.45,23213.2,228039156,21587.78
16-JAN-2025,23377.25,23391.65,23272.05,23311.8,299416081,29784.82
17-JAN-2025,23277.1,23292.1,23100.35,23203.2,272945267,27040.78
20-JAN-2025,23290.4,23391.1,23170.65,23344.75,301455455,27333.97
21-JAN-2025,23421.65,23426.3,22976.85,23024.65,312871897,30106.72
22-JAN-2025,23099.15,23169.55,22981.3,23155.35,275951918,25462.05
23-JAN-2025,23128.3,23270.8,23090.65,23205.35,275558357,27723.78
24-JAN-2025,23183.9,23347.3,23050,23092.2,264336332,24412.46
27-JAN-2025,22940.15,23007.45,22786.9,22829.15,257372790,24202.41
28-JAN-2025,22960.45,23137.95,22857.65,22957.25,361868609,33221.8
29-JAN-2025,23026.75,23183.35,22976.5,23163.1,251208119,22307.38
30-JAN-2025,23169.5,23322.05,23139.2,23249.5,384687127,35252.87
31-JAN-2025,23296.75,23546.8,23277.4,23508.4,326919177,28638.01
01-FEB-2025,23528.6,23632.45,23318.3,23482.15,287703637,25741.04
03-FEB-2025,23319.35,23381.6,23222,23361.05,347241171,32019.13
04-FEB-2025,23509.9,23762.75,23423.15,23739.25,376742506,35974.3
05-FEB-2025,23801.75,23807.3,23680.45,23696.3,267014345,25806.44
06-FEB-2025,23761.95,23773.55,23556.25,23603.35,306978683,30885.59
07-FEB-2025,23649.5,23694.5,23443.2,23559.95,368092482,30042
10-FEB-2025,23543.8,23568.6,23316.3,23381.6,225529166,21254.72
11-FEB-2025,23383.55,23390.05,22986.65,23071.8,267969979,27191.96
12-FEB-2025,23050.8,23144.7,22798.35,23045.25,279656513,26989.94
13-FEB-2025,23055.75,23235.5,22992.2,23031.4,265706855,25218.86
14-FEB-2025,23096.45,23133.7,22774.85,22929.25,254479643,22049.89
17-FEB-2025,22809.9,22974.2,22725.45,22959.5,207393944,19809.44
18-FEB-2025,22963.65,22992.5,22801.5,22945.3,210616675,19431.37
19-FEB-2025,22847.25,23049.95,22814.85,22932.9,206999204,19817.93
20-FEB-2025,22821.1,22923.85,22812.75,22913.15,240836647,21303.88
21-FEB-2025,22857.2,22921,22720.3,22795.9,242753984,21994.37
24-FEB-2025,22609.35,22668.05,22518.8,22553.35,214317552,20772.95
25-FEB-2025,22516.45,22625.3,22513.9,22547.55,250279519,24917.83
27-FEB-2025,22568.95,22613.3,22508.4,22545.05,289230479,29775.64
28-FEB-2025,22433.4,22450.35,22104.85,22124.7,551285287,52745.2
03-MAR-2025,22194.55,22261.55,22004.7,22119.3,282399735,25942.05
04-MAR-2025,21974.45,22105.05,21964.6,22082.65,253260641,22979.56
05-MAR-2025,22073.05,22394.9,22067.8,22337.3,305942691,26371.61
06-MAR-2025,22476.35,22556.45,22245.85,22544.7,372083680,30550.28
07-MAR-2025,22508.65,22633.8,22464.75,22552.5,289765795,21446.95
10-MAR-2025,22521.85,22676.75,22429.05,22460.3,293855491,22330.86
11-MAR-2025,22345.95,22522.1,22314.7,22497.9,347924102,29208.22
12-MAR-2025,22536.35,22577.4,22329.55,22470.5,369736725,33406.41
13-MAR-2025,22541.5,22558.05,22377.35,22397.2,287535243,22855.58
17-MAR-2025,22353.15,22577,22353.15,22508.75,251102239,24122.27
18-MAR-2025,22662.25,22857.8,22599.2,22834.3,272578844,26387.47
19-MAR-2025,22874.95,22940.7,22807.95,22907.6,323992121,26994.95
20-MAR-2025,23036.6,23216.7,22973.95,23190.65,313729818,27573.99
21-MAR-2025,23168.25,23402.7,23132.8,23350.4,540966316,51005.67
